Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
RENNER,LREN3,45.05,66.58,8.6,429258000.0,[]
LUPATECH,LUPA3,8.16,-14.78,-38.7,41458200.0,['RECUPERAÇÃO JUDICIAL']
TREVISA INVESTIMENTOS SA,LUXM4,71.1,27.65,12.7,42991.0,[]
LOCAWEB,LWSA3,24.17,286.02,7.6,221324000.0,[]
CIA MARCOPOLO,MAPT3,37.0,-255.66,,361.0,[]
CIA MARCOPOLO,MAPT4,40.0,-276.39,,2275.0,[]
MOBLY,MBLY3,17.25,-39.26,-5.1,3371680.0,[]
M.DIASBRANCO,MDIA3,28.05,31.81,4.4,41168800.0,[]
MOURA DUBEUX,MDNE3,8.25,10.61,11.2,3180060.0,[]
IMC S/A,MEAL3,3.79,-6.19,-18.5,17657300.0,[]
MELNICK,MELK3,6.15,10.07,11.0,4232190.0,[]
MANGELS,MGEL4,17.39,13.11,9.9,258114.0,[]
MAGAZ LUIZA,MGLU3,20.02,147.96,2.7,542941000.0,[]
MILLS,MILS3,7.75,54.36,6.2,18659600.0,[]
MMX MINER,MMXM3,14.0,18.64,,8979620.0,['RECUPERAÇÃO JUDICIAL']
MUNDIAL S/A,MNDL3,46.99,5.92,10.2,105737.0,[]
MINUPAR,MNPR3,15.0,2.08,19.8,828527.0,[]
MONTEIRO ARANHA,MOAR3,300.0,-88.3,-35.7,45631.0,[]
MOSAICO SA,MOSI3,20.08,38.59,21.6,34256600.0,[]
MOVIDA,MOVI3,17.69,19.68,14.9,37982700.0,[]
Marfrig,MRFG3,18.03,3.63,12.1,174750000.0,[]
MRV,MRVE3,17.24,15.09,11.8,66418900.0,[]
MELHORAMENTOS,MSPA3,48.0,-8.41,-39.4,337.0,[]
IGUAÇU,MTIG4,54.12,-6.13,-14.0,11976.0,[]
MITRE REALTY,MTRE3,10.98,11.63,9.6,9144590.0,[]
METISA,MTSA4,41.47,6.51,12.2,211539.0,[]
Multiplan,MULT3,24.98,36.33,45.6,126070000.0,[]
WETZEL S.A.,MWET3,39.9,-19.04,-4.2,22109.0,['RECUPERAÇÃO JUDICIAL']
WETZEL S.A.,MWET4,13.8,-10.97,-4.2,311098.0,['RECUPERAÇÃO JUDICIAL']
IOCHPE-MAXION,MYPK3,16.48,37.57,1.8,28122300.0,[]
NEOENERGIA,NEOE3,18.37,7.84,18.4,36688000.0,[]
NEOGRID,NGRD3,6.6,36.15,16.8,20529200.0,[]
NORDON INDS METALURGICAS SA,NORD3,21.25,-192.8,-56.7,97436.0,[]
GRUPO NATURA,NTCO3,51.25,31.74,6.3,291216000.0,[]
NUTRIPLANT,NUTR3,240.0,9.38,4.8,58531.0,[]
ODONTOPREV,ODPV3,12.79,9.52,35.4,14781500.0,[]
OUROFINO S/A,OFSA3,36.25,15.38,17.4,1456660.0,[]
OI,OIBR3,1.53,-10.27,-49.4,156182000.0,['RECUPERAÇÃO JUDICIAL']
OI,OIBR4,2.23,-11.52,-49.4,7094080.0,['RECUPERAÇÃO JUDICIAL']
OMEGA GER,OMGE3,37.74,28.93,33.9,29368400.0,[]
OCEANPACT,OPCT3,7.72,93.1,2.6,10905200.0,[]
ORIZON,ORVR3,24.31,34.38,13.0,5666220.0,[]
OSX BRASIL,OSXB3,11.1,-121.77,-299.0,994559.0,[]
IHPARDINI,PARD3,20.9,10.12,17.0,7463320.0,[]
PANATLANTICA,PATI3,94.0,6.59,15.2,28388.0,[]
PANATLANTICA,PATI4,120.0,8.37,15.2,13276.0,[]
PÃO DE AÇÚCAR,PCAR3,37.98,3.67,9.3,225245000.0,[]
PDG REALT,PDGR3,6.48,-37.61,-12.6,1016720.0,['RECUPERAÇÃO JUDICIAL']
PADTEC,PDTC3,7.37,42.37,8.4,2897510.0,[]
CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA,PEAB3,67.0,-16.71,-37.4,23880.0,[]
CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA,PEAB4,70.0,-17.78,-37.4,11232.0,[]
PETROBRAS,PETR3,25.22,6.19,37.8,461916000.0,[]
PETROBRAS,PETR4,25.84,6.27,37.8,1701450000.0,[]
PETZ,PETZ3,22.12,62.28,8.8,83728600.0,[]
PROFARMA,PFRM3,6.28,5.71,3.6,3029820.0,[]
PAGUE MENOS,PGMN3,11.99,16.19,5.0,12226400.0,[]
PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A,PLAS3,15.19,-4.53,-17.7,309694.0,[]
PLANOEPLANO,PLPL3,6.06,4.38,29.9,5582380.0,[]
PARANAPANEMA S.A.,PMAM3,15.37,-89.41,-0.9,15637700.0,[]
PANVEL FARMÁCIAS,PNVL3,20.0,44.48,2.6,16863100.0,[]
PANVEL FARMÁCIAS,PNVL4,19.8,44.08,2.6,284016.0,[]
MARCOPOLO,POMO3,2.56,22.03,4.5,619494.0,[]
MARCOPOLO,POMO4,2.78,23.34,4.5,15042100.0,[]
POSITIVO INF,POSI3,11.61,17.62,4.4,118297000.0,[]
FOCUS,POWE3,14.38,14.44,3.7,2830870.0,[]
PETRORIO,PRIO3,18.83,23.57,29.1,399233000.0,[]
PRINER,PRNR3,7.94,-39.63,-2.9,2615080.0,[]
PORTOBELLO S/A,PTBL3,14.02,16.48,10.8,53050000.0,[]
PETTENATI,PTNT3,14.31,18.22,7.4,869081.0,[]
PETTENATI,PTNT4,4.97,7.95,7.4,177035.0,[]
QUALICORP,QUAL3,28.0,10.04,41.1,81262200.0,[]
RAIADROGASIL,RADL3,27.58,46.27,4.8,138614000.0,[]
RUMO S.A.,RAIL3,20.73,25.43,27.1,167693000.0,[]
CELULOSE IRANI,RANI3,7.37,9.82,18.7,20114200.0,[]
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,RAPT3,12.25,7.68,12.6,299052.0,[]
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,RAPT4,14.79,8.81,12.6,39804700.0,[]
RECRUSUL,RCSL4,1.65,90.68,3.6,5464970.0,[]
RNI,RDNI3,11.16,40497.7,0.0,562203.0,[]
REDE D OR,RDOR3,73.89,68.06,14.9,138468000.0,[]
REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,REDE3,7.95,10.34,18.6,278253.0,[]
LOCALIZA RENT A CAR,RENT3,63.2,27.59,19.3,310652000.0,[]
RENOVA,RNEW11,13.1,-24.14,-95.9,119137.0,['RECUPERAÇÃO JUDICIAL']
RENOVA,RNEW3,4.65,-24.5,-95.9,126852.0,['RECUPERAÇÃO JUDICIAL']
RENOVA,RNEW4,4.17,-23.88,-95.9,209512.0,['RECUPERAÇÃO JUDICIAL']
ROMI,ROMI3,26.84,19.02,11.5,48441600.0,[]
REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A,RPMG3,4.74,-1.05,-20.1,1765010.0,['RECUPERAÇÃO JUDICIAL']
3R PETROLEUM,RRRP3,38.8,,,71523500.0,[]
ROSSI RESIDENCIAL,RSID3,10.53,-16.89,-56.6,1515020.0,[]
METALURGICA RIOSULENSE S/A,RSUL4,255.11,3.58,18.3,123924.0,[]
SANEPAR,SAPR11,20.65,5.2,36.2,40471600.0,[]
SANEPAR,SAPR3,4.13,5.2,36.2,2722760.0,[]
SANEPAR,SAPR4,4.16,5.23,36.2,16980200.0,[]
GRUPO SBF,SBFG3,29.8,-107.51,-3.0,30997600.0,[]
SABESP,SBSP3,42.1,9.48,24.2,122255000.0,[]
SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.,SCAR3,40.88,15.34,63.4,582184.0,[]
SER EDUCA,SEER3,14.06,9.55,15.0,9853040.0,[]
SEQUOIA LOG,SEQL3,22.17,88.13,3.3,24665000.0,[]
Springs,SGPS3,11.77,16.39,5.0,1504660.0,[]
TIME FOR FUN,SHOW3,4.9,-3.9,-644.4,4685710.0,[]
SCHULZ,SHUL4,10.25,20.61,8.9,5485090.0,[]
SIMPAR,SIMH3,49.61,16.54,13.8,24809300.0,[]
SLC Agricola,SLCE3,48.2,9.18,24.7,71225000.0,[]
EDITORA SARAIVA,SLED3,1.0,-3.22,-74.9,958548.0,['RECUPERAÇÃO JUDICIAL']
EDITORA SARAIVA,SLED4,0.56,-2.94,-74.9,1276020.0,['RECUPERAÇÃO JUDICIAL']
SMILES,SMLS3,22.31,11.4,33.6,37082700.0,[]
SAO MARTINHO,SMTO3,33.34,14.83,25.5,35946400.0,[]
SANSUY S.A. INDÚSTRIA DE PLÁSTICOS,SNSY5,6.3,-5.22,-5.9,179900.0,[]
GRUPO SOMA,SOMA3,13.3,4549.08,0.1,45004300.0,[]
SONDOTECNICA S/A.,SOND3,40.2,47.2,1.9,666.0,[]
