Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
Trisul,TRIS3,5.03,7.91,19.5,8096560.0
TRANSMISSÃO PAULISTA,TRPL3,34.25,7.31,71.4,46933.0
TRANSMISSÃO PAULISTA,TRPL4,26.44,6.01,71.4,44554700.0
3TENTOS,TTEN3,10.04,14.42,6.1,10390300.0
TUPY,TUPY3,17.7,6.83,8.0,15747800.0
RENAUX,TXRX3,27.66,13.22,18.4,506.0
RENAUX,TXRX4,6.75,10.24,18.4,2006.0
UNICASA,UCAS3,3.7,6.68,11.9,140558.0
ULTRAPAR PARTICIPAÇÕES SA,UGPA3,14.63,19.88,1.4,94321900.0
UNIPAR PARTICIPAÇÕES S.A.,UNIP3,97.05,4.11,34.9,2444500.0
UNIPAR PARTICIPAÇÕES S.A.,UNIP5,101.0,4.28,34.9,21110.0
UNIPAR PARTICIPAÇÕES S.A.,UNIP6,102.25,4.33,34.9,50441400.0
USIMINAS,USIM3,12.86,1.51,30.2,9593480.0
USIMINAS,USIM5,13.77,1.62,30.2,299268000.0
USIMINAS,USIM6,18.81,2.24,30.2,1071.0
VALE,VALE3,96.96,2.85,59.2,2906270000.0
VAMOS,VAMO3,13.18,20.08,26.7,32834200.0
VIBRA,VBBR3,24.05,10.76,2.7,204514000.0
